"","KO.P2.1","KO.P2.2","KO.P2.3","KO.P2.4","WT.P2.1","WT.P2.2","WT.P2.3","WT.P2.4","KO.P10.1","KO.P10.2","KO.P10.3","KO.P10.4","WT.P10.1","WT.P10.2","WT.P10.3","WT.P10.4","KO.2.1","KO.2.2","KO.2.3","KO.2.4","WT.2.1","WT.2.2","WT.2.3","WT.2.4"
"Tcta",7.10845638200237,7.2043461173638,7.18785722260045,7.06797269319648,7.42378185284083,7.39277402526262,7.2956641153727,7.39949232365645,8.06769194528109,7.73108059666252,7.85211219743589,7.75917803300667,7.70787431344726,7.69012315035088,7.51977777483103,7.68092480728762,8.67159848924187,8.38506283596653,8.73262240146529,8.87529043043702,7.89980750816875,7.81153964176162,7.7165021786212,7.83060276752807
"Gldc",8.95513774873607,8.99225702198117,8.7767250107766,8.95891481422761,8.93274285882345,9.04310733663309,9.08970337361966,9.20506453560615,6.60443828931543,6.65984083926809,6.63906668299302,6.52668040591718,7.71180488334061,7.61825083942844,7.58747388774991,8.07731469168548,6.77612331792418,6.63263625605784,6.52128152841943,6.83927149384607,6.30078150885111,6.45928382645111,6.4344027291789,6.73311817173545
"Sptssa",8.52600080808081,8.48789547377292,8.2583070680495,8.57627690253643,8.01433161408299,8.24847062877816,8.00321432944133,8.31526867216103,8.53970370062654,8.6950122779825,8.53201342359873,8.59564429638695,7.44470301723383,7.19688698875676,7.37180479768736,7.55268524131107,8.52556833453261,8.46665382524504,8.18300517999688,8.72874926397858,6.94054784030421,7.23284583252429,7.22443332638112,7.24782851497775
"Txndc5",7.68775923754926,7.62906665035618,7.71645504887915,7.69930867977576,7.70550766621734,7.85354312272767,7.77589260271992,7.84882673181174,8.54362056269169,8.53534079320947,8.71471090149022,8.39196832747224,8.2724088345496,8.31344209801964,8.146328992084,8.48891847753822,9.31281612585148,9.20683801256761,9.36306913424396,9.39339941809944,7.88234842864974,7.90721292980845,7.75543477323424,7.87579377726227
"Ssr1",7.52006915400844,7.78264091762985,7.41033307625332,7.72509566515478,6.59136806826026,6.45744280055415,6.49668888821433,6.19287829409929,7.37461825445079,7.07643376858769,7.14674026721569,7.29769676700044,6.16471864706494,6.16565986853,6.23506757259579,5.95657718796611,7.0630503112215,6.77543138453327,6.85083400828976,7.03012651326288,6.0652540893388,5.89355739896068,5.93900862939005,5.74838237966415
"Mylk",7.27597269882648,7.61041602425106,7.43148483721792,7.47098940159391,7.57632294008839,7.03940007156502,7.40233246782852,7.24309754218994,9.39969966558063,9.81408563071063,9.4574167262102,9.5419736963206,8.50883670744596,8.39343563308888,8.40105568964888,8.31795919352003,9.92142306404152,10.0770878343507,9.856944625506,10.0738746305387,8.41806955379968,8.50846984102651,8.60492617109405,8.40856927645504
"Glo1",9.46560979241936,9.17774163490849,9.31651578106453,9.42612254613512,9.35509029457103,9.20027528800781,9.41305072595178,9.43110043879534,10.6639681982262,10.7130864406325,10.7614375320101,10.8496071772047,10.3629416600308,10.1815187078405,10.1462677291275,10.3228618056055,10.7135865025171,10.642948554202,10.5771251939891,10.8768191540607,9.50334860007724,9.55433012636549,9.62889737139741,9.68996640245583
"Abca1",4.34306950772809,4.3759262065721,4.30735783284739,4.6239495811329,4.58212424712164,4.64388053118153,4.80296878949548,4.65867694823829,7.10886838010363,7.71045142598311,7.09375114653401,7.33286676025307,6.46339582847003,6.32746437211925,6.44663240723745,6.6389590317972,6.42548500159324,6.57778974061405,6.40366195905799,6.90110287692214,5.3620883374965,5.69238155499251,5.89764863492657,5.64875994393915
"Abca4",6.65104922676976,6.61627303046957,6.82817764111268,6.87953671080595,7.057165982278,7.24970377329149,7.4041035611123,7.33200742136131,8.0574134494484,8.35711590873245,8.43458317717708,8.43203485731347,9.80271961824065,9.68303096279061,9.90740039953216,9.78634325936677,9.77482925366749,9.50432515062638,9.80662612062891,9.76372481889153,10.8354541416331,10.8210659202092,10.8159168653491,11.0265252261016
"Adrb1",6.25827786263335,6.5591745965882,6.54227772757871,6.36087619333552,6.30062358690298,6.23139860953107,6.10708688694996,6.07967621972497,8.88440998239547,9.0015783374643,8.83964410920316,8.74702917398496,6.81763293881704,6.70480251572755,6.70580548223126,6.67693158393829,9.42184008168431,9.46364490354443,9.07243379623564,9.34299275759802,7.16897816167519,7.26059955173455,7.19298698851102,6.81816712961622
"Alpl",6.20186712161942,5.86417652111214,6.00444970397013,6.17227048329732,5.92321290644062,6.0651991501801,6.1811136148283,5.92679507040096,6.29538824181441,6.34847879011102,6.60938253493116,6.38901047345144,8.29186920168094,8.09631836377778,7.91939263499148,8.03994299698235,7.55590525735848,7.42274225507823,7.4747216969257,7.60153636343763,9.2992973859474,9.27663143015808,8.94178157239734,9.31222990724252
"Pip4k2c",6.6451927679531,6.4578851503011,6.55380229529471,6.53735371953398,6.57372137427498,6.73437480756635,6.57640647169952,6.72715194956882,7.02762231451105,6.91414950478254,6.96807028870636,6.88128012117335,8.00680151637168,7.88727424806062,7.80098707570896,7.93327076858086,7.26188296123855,7.23486283793919,7.20248135496604,7.29894783242462,8.45738170566064,8.44767881169753,8.17329735925583,8.65673162668067
"Anp32a",7.89691880861493,7.49195230803637,7.06286631453513,7.28772686455241,6.40118923832217,7.15849819415089,6.61280398364106,6.56810675085757,7.31462536901937,6.77747038885872,6.99820799352482,6.83484519761161,6.9529147275318,6.3545904991646,6.6219423019398,6.57291964997083,7.0502306801901,6.47899081885028,6.82484170849372,7.84665196363509,7.05971977859975,7.49172165411069,7.86086516889194,6.84966507144681
"Apoe",9.11428644669902,8.64787098333939,8.97485422471848,9.13038879652395,8.96916055095708,9.21611856469711,9.21798289740999,9.33678182218071,11.5390018457464,11.5706895219739,11.5758147158339,11.6852704849525,10.435804624596,10.3841661736392,10.3961024948842,10.4887259858151,11.3445507428205,11.3150017704187,11.3410747782244,11.515848981175,10.4987004982787,10.5301210611812,10.6064949283449,10.8069700384297
"Aqp1",4.91803040468952,5.45518685075631,5.39726605906294,5.34914846192395,5.57775364962463,5.34434916558544,5.30229251307015,5.40792938188005,5.31685466013408,5.61767305504215,5.58816656347139,5.65324252628881,6.1100746393397,6.13486773977859,6.05846022242291,5.68373826396184,5.51298807273048,5.66652934762974,5.49466790526028,5.40585020191982,8.43452505641077,8.62939831816379,8.49839196581754,8.84434154542527
