"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","100004_at","Ints7","77065","integrator complex subunit 7",0.136899636004611,6.79778640091508,1.31162967780877,0.201981006444205,0.399192252518247,-6.63811443705541
"2","100005_at","Traf4","22032","TNF receptor associated factor 4",-0.0527988446974845,7.22918173441819,-0.512633424661236,0.612865971488837,0.778060883290379,-7.36508082932465
"3","100009_r_at","Sox2","20674","SRY (sex determining region Y)-box 2",0.257741774837655,7.60337946971074,1.0807087924554,0.290503664529487,0.500107574379876,-6.90869002035691
"4","100011_at","Klf3","16599","Kruppel-like factor 3 (basic)",-0.332961584314584,5.33173605949942,-2.1994894325748,0.0376563065158596,0.131525077012055,-5.21227534306132
"5","100019_at","Vcan","13003","versican",0.199966660597891,6.12520492277465,1.73754140476968,0.0950331002930577,0.242905142264232,-6.0242205981387
"6","100023_at","Mybl2","17865","myeloblastosis oncogene-like 2",-0.00271478007974046,6.62963013891026,-0.0181269400409649,0.98568655213879,0.992897403552687,-7.50059988334703
"7","100024_at","Shroom3","27428","shroom family member 3",-0.063685746173844,7.56243817698611,-0.318451261913904,0.752880986930705,0.870956420819358,-7.44823344223949
"8","100033_at","Msh2","17685","mutS homolog 2",0.809819624970114,7.89183315283305,7.22466288129684,1.76136167248299e-07,4.03444526244525e-06,6.89061253704772
"9","100037_at","Ddx18","66942","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18",-0.0682798746399573,5.74717032969329,-0.439085605119471,0.66450399386631,0.820499761555291,-7.40107905691623
"10","100039_at","Cnpy2","56530","canopy FGF signaling regulator 2",-0.10279146869113,8.25583416236692,-0.843588968213814,0.40717955088227,0.620811776771003,-7.13667738215182
"11","100041_at","Slc25a39","68066","solute carrier family 25, member 39",-0.240300551857417,7.62161354155044,-1.93695228095749,0.0645371829245141,0.189262681999653,-5.6907204730706
"12","100042_at","Hagh","14651","hydroxyacyl glutathione hydrolase",-0.161881605910723,7.56323690775003,-1.25351885358309,0.222019675097172,0.423221514562569,-6.71054737185499
"13","100047_at","Snap25","20614","synaptosomal-associated protein 25",-0.27718199537572,10.0086100134159,-2.35607448576081,0.026920348099304,0.104430850224837,-4.90769537775496
"14","100050_at","Id1","15901","inhibitor of DNA binding 1, HLH protein",0.197946687307874,6.9408657756141,0.952031152771775,0.350515285607816,0.570472147705764,-7.03887468533426
"15","100051_at","Stom","13830","stomatin",-0.116186691867121,8.30302430645042,-0.889141231126509,0.382700544435254,0.598244529232121,-7.09694093141906
"16","100057_at","Nsmce1","67711","NSE1 homolog, SMC5-SMC6 complex component",-0.249995322082374,6.87566958006544,-1.99172718910325,0.0578282568863858,0.175746210872592,-5.59444503131994
"17","100064_f_at","Gja1","14609","gap junction protein, alpha 1",0.0369496551667936,4.58965498429909,0.163946452788984,0.87113799017197,0.935188531903104,-7.48682431456453
"18","100066_at","Gart","14450","phosphoribosylglycinamide formyltransferase",0.0356129499290292,6.84569047884517,0.301735573267677,0.765437298188533,0.877513592876347,-7.45359396234465
"19","100068_at","Aldh1a1","11668","aldehyde dehydrogenase family 1, subfamily A1",0.663138385377785,7.3875796133396,4.18698517894729,0.000324799429669546,0.00289657196295464,-0.665462098414287
"20","100084_at","Ezr","22350","ezrin",0.154216718250709,5.54391165832257,1.26437801342322,0.218164062854169,0.418259912573279,-6.69722968317769
"21","100089_at","Ppic","19038","peptidylprolyl isomerase C",0.216913573636942,5.04557372094975,1.57474038724441,0.12833006357612,0.293213273277436,-6.27547158734895
"22","100099_at","Smpd1","20597","sphingomyelin phosphodiesterase 1, acid lysosomal",-0.504804046581311,9.96619819067448,-4.68631424261097,9.09385696991177e-05,0.000994383556106935,0.597878040826261
"23","100101_at","Snrpa","53607","small nuclear ribonucleoprotein polypeptide A",-0.0459329803555235,8.59924820130903,-0.456648769015285,0.65200515349991,0.810258831533869,-7.39297934670012
