"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","100004_at","Ints7","77065","integrator complex subunit 7",-0.0819719287171736,6.79778640091508,-1.11068036131956,0.277644877848197,0.45185619941974,-7.11190868683397
"2","100005_at","Traf4","22032","TNF receptor associated factor 4",0.151678470225242,7.22918173441819,2.08267468189328,0.0480430306913828,0.129704261519168,-5.66425558494721
"3","100009_r_at","Sox2","20674","SRY (sex determining region Y)-box 2",0.108919468273864,7.60337946971074,0.645868911258664,0.524455810738644,0.686239232812561,-7.52223918341536
"4","100011_at","Klf3","16599","Kruppel-like factor 3 (basic)",0.551335351311797,5.33173605949942,5.15060907044432,2.7906768156971e-05,0.000311410910305482,1.55740744180053
"5","100019_at","Vcan","13003","versican",0.0977607790159629,6.12520492277465,1.20131588513281,0.241280809634972,0.41340711950055,-7.00872844633001
"6","100023_at","Mybl2","17865","myeloblastosis oncogene-like 2",-0.00758261487058309,6.62963013891026,-0.0716017835639618,0.943508634549972,0.973731239647797,-7.73452642712508
"7","100024_at","Shroom3","27428","shroom family member 3",0.0248541568377894,7.56243817698611,0.175757863616629,0.861949935919867,0.923942394365336,-7.72114591142157
"8","100033_at","Msh2","17685","mutS homolog 2",-0.0407883243792266,7.89183315283305,-0.514612287729748,0.61150287714755,0.751126360164058,-7.60030169885963
"9","100037_at","Ddx18","66942","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18",0.154755112517959,5.74717032969329,1.40739656794966,0.172053946063799,0.323306896921267,-6.74784011319618
"10","100039_at","Cnpy2","56530","canopy FGF signaling regulator 2",0.134453566886112,8.25583416236692,1.56049056163627,0.131656917454123,0.265510150491354,-6.53150684053619
"11","100041_at","Slc25a39","68066","solute carrier family 25, member 39",0.141059708227945,7.62161354155044,1.60798551549309,0.120838009484358,0.248944566607584,-6.46067308662785
"12","100042_at","Hagh","14651","hydroxyacyl glutathione hydrolase",0.0371821701197845,7.56323690775003,0.407176868223281,0.68746548092592,0.811239092459221,-7.65131700972762
"13","100047_at","Snap25","20614","synaptosomal-associated protein 25",-0.164100703215537,10.0086100134159,-1.97264728634217,0.0600919321764984,0.152223567422655,-5.86233689376675
"14","100050_at","Id1","15901","inhibitor of DNA binding 1, HLH protein",-0.251374015879234,6.9408657756141,-1.70977240261466,0.100131076892838,0.216801217232652,-6.30316014013712
"15","100051_at","Stom","13830","stomatin",-0.472871898336114,8.30302430645042,-5.11767693822582,3.03372774451944e-05,0.000333403614751227,1.47355593544119
"16","100057_at","Nsmce1","67711","NSE1 homolog, SMC5-SMC6 complex component",0.228733302209024,6.87566958006544,2.57716584765315,0.0164919036615044,0.0636283375309104,-4.6884249657932
"17","100064_f_at","Gja1","14609","gap junction protein, alpha 1",-0.348860988314819,4.58965498429909,-2.18906692647822,0.0384930324831835,0.11128677074605,-5.46566858460501
"18","100066_at","Gart","14450","phosphoribosylglycinamide formyltransferase",0.209183916490479,6.84569047884517,2.50646620420333,0.0193268006471511,0.070495203235465,-4.83571282910877
